('Total Revenue', '261,802,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         756048 function calls (735462 primitive calls) in 2.294 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      160    0.003    0.000    0.003    0.000 {built-in method _io.open_code}
     5787    0.002    0.000    0.003    0.000 _parser.py:176(append)
       49    0.002    0.000    0.003    0.000 <frozen abc>:105(__new__)
        2    0.000    0.000    0.003    0.001 abc.py:1(<module>)
       26    0.000    0.000    0.003    0.000 typing.py:687(Union)
  136/131    0.000    0.000    0.003    0.000 css_parser.py:385(freeze)
       17    0.001    0.000    0.003    0.000 __init__.py:355(namedtuple)
      187    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
        1    0.000    0.000    0.002    0.002 parse.py:1(<module>)
    13115    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.002    0.002 scanner.py:1(<module>)
     1360    0.001    0.000    0.002    0.000 _parser.py:172(__setitem__)
        1    0.000    0.000    0.002    0.002 packages.py:1(<module>)
        7    0.000    0.000    0.002    0.000 typing.py:2761(_make_nmtuple)
        2    0.000    0.000    0.002    0.001 _collections.py:1(<module>)
      320    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
    15388    0.002    0.000    0.002    0.000 {method 'end' of 're.Match' objects}
     2610    0.001    0.000    0.002    0.000 _htmlparser.py:178(handle_data)
        1    0.000    0.000    0.002    0.002 css_types.py:1(<module>)
    13874    0.002    0.000    0.002    0.000 {built-in method builtins.hasattr}
      210    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:982(find_spec)
        1    0.000    0.000    0.002    0.002 shutil.py:1(<module>)
       87    0.000    0.000    0.002    0.000 typing.py:723(<genexpr>)
     1439    0.002    0.000    0.002    0.000 __init__.py:648(_linkage_fixer)
    10046    0.002    0.000    0.002    0.000 {built-in method builtins.min}
     2481    0.000    0.000    0.002    0.000 css_parser.py:307(match)
      329    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:632(cached)
        9    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1295(exec_module)
        1    0.000    0.000    0.002    0.002 hashlib.py:1(<module>)
        1    0.000    0.000    0.002    0.002 pretty.py:1(<module>)
        2    0.000    0.000    0.002    0.001 cookies.py:1(<module>)
     1425    0.001    0.000    0.002    0.000 enum.py:1544(_get_value)
      121    0.001    0.000    0.002    0.000 _compiler.py:467(_get_charset_prefix)
        9    0.002    0.000    0.002    0.000 {built-in method _imp.exec_dynamic}
      136    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
      169    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
      376    0.001    0.000    0.002    0.000 enum.py:1562(__and__)
      122    0.000    0.000    0.002    0.000 _markupbase.py:165(parse_comment)
        1    0.000    0.000    0.002    0.002 _common.py:1(<module>)
       99    0.000    0.000    0.002    0.000 enum.py:1551(__or__)
        1    0.000    0.000    0.001    0.001 pathlib.py:1(<module>)
