('Total Revenue', '261,802,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         728010 function calls (708504 primitive calls) in 2.335 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      171    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      171    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      171    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
      171    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
      171    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
      171    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
      160    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      160    0.000    0.000    0.055    0.000 _parser.py:969(parse)
      160    0.001    0.000    0.005    0.000 _compiler.py:511(_compile_info)
      160    0.001    0.000    0.088    0.001 _compiler.py:740(compile)
      160    0.000    0.000    0.032    0.000 _compiler.py:573(_code)
      160    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
      160    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
      160    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
      157    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      154    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      154    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      153    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
      153    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
    152/4    0.000    0.000    0.206    0.051 <frozen importlib._bootstrap>:911(_load_unlocked)
  152/149    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      152    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      152    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
      151    0.000    0.000    0.002    0.000 typing.py:166(_type_convert)
      150    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
      150    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
      150    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      149    0.000    0.000    0.000    0.000 enum.py:202(__get__)
      147    0.001    0.000    0.003    0.000 typing.py:175(_type_check)
      144    0.000    0.000    0.000    0.000 typing.py:1246(<genexpr>)
      143    0.000    0.000    0.000    0.000 enum.py:1292(value)
      136    0.000    0.000    0.001    0.000 css_parser.py:359(__init__)
  136/131    0.000    0.000    0.003    0.000 css_parser.py:385(freeze)
      136    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:375(_freeze_relations)
      134    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
      134    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
      134    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
      133    0.000    0.000    0.004    0.000 _parser.py:98(closegroup)
      133    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
      131    0.000    0.000    0.000    0.000 typing.py:1252(__eq__)
      130    0.000    0.000    0.000    0.000 enum.py:942(<lambda>)
      128    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1573(<genexpr>)
      128    0.000    0.000    0.000    0.000 typing.py:1565(__eq__)
    127/1    0.001    0.000    2.335    2.335 {built-in method builtins.exec}
      127    0.004    0.000    0.489    0.004 {method 'read' of '_io.BufferedReader' objects}
      126    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      126    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:140(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:145(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:150(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
      125    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      125    0.017    0.000    0.017    0.000 {built-in method marshal.loads}
      125    0.002    0.000    0.002    0.000 {built-in method _io.open_code}
      125    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
      125    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
      125    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
      125    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1178(get_filename)
      125    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1153(__init__)
      125    0.001    0.000    0.028    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
    125/4    0.000    0.000    0.206    0.051 <frozen importlib._bootstrap_external>:989(exec_module)
      125    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:986(create_module)
      125    0.002    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
      125    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
      125    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      125    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
      122    0.000    0.000    0.001    0.000 _htmlparser.py:241(handle_comment)
      122    0.000    0.000    0.001    0.000 _markupbase.py:165(parse_comment)
      114    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
      114    0.000    0.000    0.000    0.000 {built-in method sys.intern}
      114    0.000    0.000    0.000    0.000 __init__.py:429(<genexpr>)
  113/111    0.000    0.000    0.001    0.000 {method 'encode' of 'str' objects}
      113    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
      111    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      110    0.000    0.000    0.000    0.000 ipaddress.py:574(__int__)
      108    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
      107    0.000    0.000    0.000    0.000 constant.py:398(<lambda>)
      105    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      104    0.001    0.000    0.002    0.000 _compiler.py:467(_get_charset_prefix)
       98    0.000    0.000    0.000    0.000 dammit.py:134(<genexpr>)
       95    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       95    0.000    0.000    0.001    0.000 enum.py:1551(__or__)
       90    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
       84    0.000    0.000    0.001    0.000 css_parser.py:798(parse_combinator)
       80    0.000    0.000    0.000    0.000 typing.py:723(<genexpr>)
       77    0.000    0.000    0.004    0.000 css_parser.py:462(parse_attribute_selector)
       77    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
    75/69    0.000    0.000    0.002    0.000 typing.py:392(inner)
       71    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
       71    0.000    0.000    0.000    0.000 _parser.py:304(checkgroupname)
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
       69    0.000    0.000    0.001    0.000 css_parser.py:532(parse_tag_pattern)
       66    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       64    0.000    0.000    0.001    0.000 functools.py:35(update_wrapper)
       62    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
    58/37    0.000    0.000    0.101    0.003 <frozen importlib._bootstrap>:1390(_handle_fromlist)
       57    0.000    0.000    0.001    0.000 _htmlparser.py:90(handle_startendtag)
       55    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
       55    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
       54    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       54    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
       54    0.000    0.000    0.000    0.000 enum.py:785(__delattr__)
       54    0.000    0.000    0.000    0.000 __init__.py:255(escape)
       53    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_iscased}
       53    0.000    0.000    0.000    0.000 typing.py:262(_collect_parameters)
       53    0.000    0.000    0.000    0.000 utils.py:52(_has_surrogates)
       52    0.002    0.000    0.002    0.000 {built-in method builtins.compile}
    52/14    0.001    0.000    0.013    0.001 css_parser.py:911(parse_selectors)
       52    0.000    0.000    0.002    0.000 typing.py:885(__init__)
       51    0.000    0.000    0.000    0.000 _policybase.py:319(header_fetch_parse)
       51    0.000    0.000    0.000    0.000 _policybase.py:289(_sanitize_header)
       50    0.000    0.000    0.000    0.000 ipaddress.py:1920(__init__)
       50    0.000    0.000    0.000    0.000 element.py:1624(__eq__)
       50    0.000    0.000    0.000    0.000 parser.py:123(set_cdata_mode)
       49    0.000    0.000    0.000    0.000 typing.py:1147(__init__)
       49    0.000    0.000    0.001    0.000 typing.py:1242(__init__)
       48    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       48    0.000    0.000    0.000    0.000 typing.py:1454(<genexpr>)
       48    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
    47/34    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
    47/34    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
       47    0.000    0.000    0.000    0.000 feedparser.py:127(__next__)
       47    0.000    0.000    0.000    0.000 feedparser.py:77(readline)
       46    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
       46    0.000    0.000    0.000    0.000 ipaddress.py:1755(_parse_hextet)
       46    0.000    0.000    0.000    0.000 _compiler.py:407(_generate_overlap_table)
    44/25    0.000    0.000    0.000    0.000 typing.py:1573(__hash__)
       43    0.000    0.000    0.932    0.022 {method 'readline' of '_io.BufferedReader' objects}
       43    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       43    0.002    0.000    0.003    0.000 <frozen abc>:105(__new__)
       43    0.000    0.000    0.000    0.000 enum.py:390(__setitem__)
       43    0.000    0.000    0.000    0.000 enum.py:820(<genexpr>)
       43    0.000    0.000    0.000    0.000 enum.py:70(_is_internal_class)
       43    0.000    0.000    0.000    0.000 enum.py:93(_is_single_bit)
       42    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
       42    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
    42/30    0.000    0.000    0.010    0.000 css_parser.py:569(parse_pseudo_class)
       42    0.000    0.000    0.000    0.000 __init__.py:609(__missing__)
       41    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
       41    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_tolower}
       41    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
       39    0.000    0.000    0.000    0.000 _collections.py:300(add)
       39    0.000    0.000    0.000    0.000 message.py:511(set_raw)
       39    0.000    0.000    0.000    0.000 _policybase.py:301(header_source_parse)
    38/29    0.000    0.000    0.010    0.000 css_parser.py:732(parse_pseudo_open)
       38    0.000    0.000    0.000    0.000 enum.py:1394(_iter_member_by_value_)
       38    0.000    0.000    0.000    0.000 enum.py:117(_iter_bits_lsb)
       37    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       35    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       34    0.000    0.000    0.001    0.000 ipaddress.py:2238(__init__)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1651(_ip_int_from_string)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1885(_split_scope_id)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1631(_make_netmask)
       33    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1286(__init__)
       31    0.000    0.000    0.000    0.000 financial-enhanced.py:24(<lambda>)
    30/24    0.000    0.000    0.001    0.000 typing.py:508(__getitem__)
       28    0.000    0.000    0.001    0.000 {method 'decode' of 'bytearray' objects}
       26    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
       26    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
       26    0.000    0.000    0.000    0.000 typing.py:1178(__getattr__)
       26    0.000    0.000    0.000    0.000 typing.py:1258(__hash__)
       25    0.000    0.000    0.000    0.000 <frozen abc>:7(abstractmethod)
       25    0.000    0.000    0.000    0.000 ipaddress.py:474(_prefix_from_prefix_string)
       25    0.000    0.000    0.000    0.000 ipaddress.py:431(_ip_int_from_prefix)
       25    0.000    0.000    0.000    0.000 ipaddress.py:415(_check_int_address)
       24    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
       24    0.001    0.000    0.001    0.000 enum.py:254(__set_name__)
       24    0.000    0.000    0.000    0.000 util.py:19(to_str)
       24    0.000    0.000    0.000    0.000 typing.py:317(_deduplicate)
       24    0.000    0.000    0.000    0.000 typing.py:345(_remove_dups_flatten)
       24    0.000    0.000    0.000    0.000 enum.py:251(__init__)
