('Total Revenue', '261,802,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         728020 function calls (708499 primitive calls) in 1.941 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 string.py:69(__init_subclass__)
       52    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
       20    0.000    0.000    0.001    0.000 typing.py:1449(__getitem__)
       49    0.000    0.000    0.001    0.000 typing.py:1147(__init__)
      857    0.001    0.000    0.001    0.000 {built-in method fromkeys}
        6    0.000    0.000    0.001    0.000 feedparser.py:176(_call_parse)
     4433    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
        6    0.000    0.000    0.001    0.000 feedparser.py:216(_parsegen)
        1    0.000    0.000    0.001    0.001 __init__.py:152(EntryPoint)
      816    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
      134    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
     3819    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
      125    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
       95    0.000    0.000    0.001    0.000 enum.py:1551(__or__)
        2    0.000    0.000    0.001    0.000 connection.py:369(request)
        1    0.000    0.000    0.001    0.001 lzma.py:1(<module>)
       50    0.000    0.000    0.001    0.000 parser.py:123(set_cdata_mode)
        1    0.000    0.000    0.001    0.001 base64mime.py:1(<module>)
       84    0.000    0.000    0.001    0.000 css_parser.py:798(parse_combinator)
        1    0.000    0.000    0.001    0.001 __init__.py:436(PercentStyle)
       17    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        1    0.000    0.000    0.000    0.000 selectors.py:1(<module>)
     3128    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:997(exec_module)
      136    0.000    0.000    0.000    0.000 css_parser.py:359(__init__)
       16    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
        1    0.000    0.000    0.000    0.000 datetime.py:1(<module>)
     2227    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
     2892    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        4    0.000    0.000    0.000    0.000 ssl.py:399(__new__)
     2663    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 {built-in method _ssl.txt2obj}
        1    0.000    0.000    0.000    0.000 _meta.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ssltransport.py:1(<module>)
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
        8    0.000    0.000    0.000    0.000 _htmlparser.py:182(handle_charref)
        1    0.000    0.000    0.000    0.000 charset.py:1(<module>)
      125    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
       17    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        1    0.000    0.000    0.000    0.000 tempfile.py:1(<module>)
       64    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
       12    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
      428    0.000    0.000    0.000    0.000 enum.py:1129(__new__)
       28    0.000    0.000    0.000    0.000 {method 'decode' of 'bytearray' objects}
      825    0.000    0.000    0.000    0.000 element.py:1543(get)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1631(_make_netmask)
     2778    0.000    0.000    0.000    0.000 _markupbase.py:36(getpos)
     2779    0.000    0.000    0.000    0.000 __init__.py:453(set_up_substitutions)
      353    0.000    0.000    0.000    0.000 enum.py:850(__setattr__)
       21    0.000    0.000    0.000    0.000 typing.py:1458(copy_with)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1685(path_hook_for_FileFinder)
     1879    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
        6    0.000    0.000    0.000    0.000 typing.py:740(Optional)
        5    0.000    0.000    0.000    0.000 url.py:367(parse_url)
        2    0.000    0.000    0.000    0.000 feedparser.py:469(_parse_headers)
       48    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
        1    0.000    0.000    0.000    0.000 mimetypes.py:1(<module>)
      273    0.000    0.000    0.000    0.000 css_parser.py:334(match)
     2629    0.000    0.000    0.000    0.000 parser.py:127(clear_cdata_mode)
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
       25    0.000    0.000    0.000    0.000 ipaddress.py:431(_ip_int_from_prefix)
        2    0.000    0.000    0.000    0.000 client.py:1320(endheaders)
